protein_id,degree,organism
RP_6523388.1,80,Homo sapiens
RP_6650634.1,183,Homo sapiens
AP_2334489.1,148,Homo sapiens
WP_9624682.1,173,Homo sapiens
AP_9728519.1,186,Homo sapiens
WP_4623669.1,72,Homo sapiens
AP_5081505.1,73,Homo sapiens
ZP_4621373.1,130,Homo sapiens
XP_3444769.1,116,Homo sapiens
ZP_1362752.1,139,Homo sapiens
ZP_9884633.1,90,Homo sapiens
XP_9795979.1,38,Homo sapiens
YP_9405648.1,169,Homo sapiens
WP_6213790.1,63,Homo sapiens
NP_4821339.1,7,Homo sapiens
RP_3375709.1,82,Homo sapiens
RP_5247581.1,96,Homo sapiens
WP_8342680.1,100,Homo sapiens
WP_2528388.1,21,Homo sapiens
WP_2763046.1,65,Homo sapiens
AP_5599720.1,44,Homo sapiens
RP_6740913.1,50,Homo sapiens
ZP_3516664.1,15,Homo sapiens
ZP_3485357.1,15,Homo sapiens
NP_1565689.1,59,Homo sapiens
AP_1925665.1,49,Homo sapiens
ZP_4156518.1,66,Homo sapiens
ZP_5097895.1,41,Homo sapiens
RP_6497986.1,96,Homo sapiens
XP_1970928.1,115,Homo sapiens
ZP_6349859.1,62,Homo sapiens
NP_2405413.1,24,Homo sapiens
XP_5658019.1,58,Homo sapiens
XP_371836.1,48,Homo sapiens
RP_7381369.1,33,Homo sapiens
ZP_8685377.1,46,Homo sapiens
NP_1371741.1,11,Homo sapiens
ZP_1146797.1,25,Homo sapiens
RP_664685.1,65,Homo sapiens
RP_5696411.1,59,Homo sapiens
YP_1107293.1,39,Homo sapiens
AP_8511855.1,4,Homo sapiens
AP_7907313.1,65,Homo sapiens
RP_2730708.1,39,Homo sapiens
NP_1867640.1,26,Homo sapiens
ZP_6823771.1,28,Homo sapiens
ZP_1385160.1,7,Homo sapiens
AP_6180526.1,72,Homo sapiens
AP_1525472.1,17,Homo sapiens
YP_6656168.1,3,Homo sapiens
YP_2330919.1,41,Homo sapiens
RP_1837095.1,34,Homo sapiens
WP_4880450.1,9,Homo sapiens
YP_2209818.1,59,Homo sapiens
AP_2331785.1,26,Homo sapiens
RP_3953339.1,40,Homo sapiens
RP_9567719.1,49,Homo sapiens
ZP_7230144.1,41,Homo sapiens
RP_3847389.1,73,Homo sapiens
AP_6345035.1,43,Homo sapiens
XP_2221690.1,15,Homo sapiens
WP_591234.1,44,Homo sapiens
AP_5501218.1,62,Homo sapiens
YP_7014550.1,29,Homo sapiens
RP_9386029.1,22,Homo sapiens
RP_5988794.1,18,Homo sapiens
YP_7658158.1,38,Homo sapiens
NP_8611017.1,18,Homo sapiens
ZP_869598.1,32,Homo sapiens
RP_8071379.1,27,Homo sapiens
AP_3356415.1,34,Homo sapiens
ZP_5754237.1,16,Homo sapiens
AP_1073548.1,31,Homo sapiens
RP_7164746.1,19,Homo sapiens
AP_9702083.1,22,Homo sapiens
AP_5293542.1,26,Homo sapiens
WP_4674293.1,39,Homo sapiens
ZP_143585.1,8,Homo sapiens
NP_2639448.1,24,Homo sapiens
AP_1675557.1,12,Homo sapiens
ZP_8406461.1,31,Homo sapiens
XP_1301482.1,40,Homo sapiens
NP_4370070.1,45,Homo sapiens
ZP_3660920.1,37,Homo sapiens
RP_2584413.1,58,Homo sapiens
